title,company,location,description,salary_min,salary_max,contract_type,posted,apply_url,search_term,search_keyword
Senior Full Stack Software Developer- GOLANG/REACT (Réf 19-13 S),1perTInent inc,"Montréal, Québec","Job Description Job Description Company Description Our client is an innovative and forward-looking company that offers technical consulting, design, and programming services for show control and the entertainment industry. Additionally, since 2015, it has been designing and manufacturing its platform for audiovisual system monitoring and management Job Description Contribute to and be accountable for the design, development and test of software (end-to-end development life cycle). Write specif…",,,N/A,2025-12-28T02:15:38Z,https://www.adzuna.ca/details/5558166270?utm_medium=api&utm_source=605233a1,software developer,junior
Industry X Software Developer MES Programming Associate Manager,Accenture,Canada,"We are: Looking to be part of a transformational digital engineering and manufacturing practice? How about an opportunity to help world-class clients solve their biggest challenges and create products and services that customers love - quickly, efficiently and sustainably? Industry X combines Accenture’s powerful digital capabilities with deep engineering and manufacturing expertise. We use the power of data and digital to help our clients reimagine the products they make, and how they make the…",82596.0,132600.0,N/A,2025-12-28T14:26:16Z,https://www.adzuna.ca/details/5558319288?utm_medium=api&utm_source=605233a1,software developer,associate
